"","Continent.Region","Country","LocationDescription","Latitude","Longitude","Elevation.m.","DateCollected","precip","tmin","tmean","tmax","Month","Day","Year","Decade","MuseumOrField","SampleID","FieldID","Genus","Species","SpeciesName","BdStatus","GEScore","ZEScore","BdMethodology","SwabCollector","PreviouslyReported","Comments","HFP2009","croplands2005","Built2009","NavWater2009","Popdensity2010","Roads","Railways","Pasture2009","dist.closest.wb","cat.closest.wb","FirstPosDist"
"713","NorthAmerica","United States","California_Tuolumne County_Siesta Lake, Yosemite National Park",37.8511,-119.6586,2418,"1972",34.47,26.4,39.3,52.3,NA,NA,1972,"1970s","Museum","SM070","MVZ136154","Rana","sierrae","Rana sierrae",1,0.0313,2.5,"qPCR (Vredenburg Lab)","Sam McNally",NA,"1 of 2 qPCR's 1_Coordinate error (m) 106.68_Datum _not recorded_",9,0,0,0,1,8,0,0,1.007130343,"distlakepond","0"
"714","NorthAmerica","United States","California_Tuolumne County_Siesta Lake, Yosemite National Park",37.8511,-119.6586,2439,"1972",34.47,26.4,39.3,52.3,NA,NA,1972,"1970s","Museum","SM074","MVZ136155","Rana","sierrae","Rana sierrae",1,0.0209,1.67,"qPCR (Vredenburg Lab)","Sam McNally",NA,"1 of 2 qPCR's 1_Coordinate error (m) 106.68_Datum _not recorded_",9,0,0,0,1,8,0,0,1.007130343,"distlakepond","0"
"716","NorthAmerica","United States","California_Tuolumne County_Monroe Middlefork Camp, Middle Fork of the Tuolumne River",37.8578,-119.8623,1346.1,"1972",20.95,37,51.5,65.9,NA,NA,1972,"1970s","Museum","MVZ136239","MVZ136239","Rana","boylii","Rana boylii",1,0.123,9.84,"qPCR (Vredenburg Lab)","Sam McNally",NA,"1 of 2 qPCR's 1_Coordinate error (m) 30_Datum _not recorded_Marker at Middlefork camp, and middle fork Tuolumne River.Estimated elevation using GPS Visualizer",1.279920936,0,0,0,1,0.279920965,0,0,0.358065088,"distperennialstream","17.942185475088"
"719","NorthAmerica","United States","California_Tuolumne County_Dana Fork Tuolumne River, Yosemite National Park",37.8801,-119.3112,2774,"1972",23.17,17.8,33.7,49.6,NA,NA,1972,"1970s","Museum","SM099","MVZ136151","Rana","sierrae","Rana sierrae",1,0.00114,0.09,"qPCR (Vredenburg Lab)","Sam McNally",NA,"1 of 2 qPCR's 1_Coordinate error (m) 30_Datum _not recorded_Marker based on elevation.",9,0,0,0,1,8,0,0,0.040020147,"distperennialstream","30.7375746984568"
"720","NorthAmerica","United States","California_Tuolumne County_Dana Fork Tuolumne River, Yosemite National Park",37.8801,-119.3112,2774,"1972",23.17,17.8,33.7,49.6,NA,NA,1972,"1970s","Museum","SM110","MVZ136152","Rana","sierrae","Rana sierrae",1,0.00439,0.35,"qPCR (Vredenburg Lab)","Sam McNally",NA,"1 of 2 qPCR's 1_Coordinate error (m) 30_Datum _not recorded_Marker based on elevation.",9,0,0,0,1,8,0,0,0.040020147,"distperennialstream","30.7375746984568"
"721","NorthAmerica","United States","California_Tuolumne County_Cathedral Creek, Yosemite National Park",37.9032,-119.4408,2387.2,"1972",26.59,23.9,38.6,53.3,NA,NA,1972,"1970s","Museum","SM082","MVZ136157","Rana","sierrae","Rana sierrae",1,0.0573,4.58,"qPCR (Vredenburg Lab)","Sam McNally",NA,"1 of 2 qPCR's 1_Coordinate error (m) 6152.32_Datum _MaNIS georeferencing guidelines_point is midpoint of creek's lengthEstimated elevation using GPS Visualizer",2.852497578,0,0,0,1,0.852497637,0,1,1.108075332,"distperennialstream","20.0153459112297"
"722","NorthAmerica","United States","California_Tuolumne County_Cathedral Creek, Yosemite National Park",37.9032,-119.4408,2387.2,"1972",26.59,23.9,38.6,53.3,NA,NA,1972,"1970s","Museum","SM063","MVZ136156","Rana","sierrae","Rana sierrae",1,NA,1.7756,"qPCR (Vredenburg Lab)","Sam McNally",NA,"took average of 2 1 qPCR's_ZE's 0.5672_2.984_Coordinate error (m) 6152.32_Datum _MaNIS georeferencing guidelines_point is midpoint of creek's lengthEstimated elevation using GPS Visualizer",2.852497578,0,0,0,1,0.852497637,0,1,1.108075332,"distperennialstream","20.0153459112297"
"724","NorthAmerica","United States","California_Tuolumne County_South State Hwy. 108, ca. 0.5 mi W Sonora Pass",38.3335,-119.6401,2774,"1973",60.99,22,33.8,45.7,NA,NA,1973,"1970s","Museum","SM116","MVZ136169","Rana","sierrae","Rana sierrae",1,0.0061,0.49,"qPCR (Vredenburg Lab)","Sam McNally",NA,"1 of 2 qPCR's 1_Coordinate error (m) 30_Datum _not recorded_",9,0,0,0,1,8,0,0,1.013880397,"distperennialstream","53.5705938836821"
"726","NorthAmerica","United States","California_Nevada County_S Yuba River, Washington",39.3602,-120.7998,791.5,"1973",88.36,40.2,52.9,65.7,NA,NA,1973,"1970s","Museum","MVZ136320","MVZ136320","Rana","boylii","Rana boylii",1,0.0532,4.26,"qPCR (Vredenburg Lab)","Sam McNally",NA,"1 of 2 qPCR's 1_Coordinate error (m) _Datum _not recorded_Estimated elevation using GPS Visualizer",3.318683624,0,0,0,3,0.318683654,0,0,0.781159355,"distephemeralstream","194.790879458866"
"727","NorthAmerica","United States","California_Nevada County_S Yuba River, Washington",39.3602,-120.7998,791.5,"1973",88.36,40.2,52.9,65.7,NA,NA,1973,"1970s","Museum","MVZ136322","MVZ136322","Rana","boylii","Rana boylii",1,0.00897,0.7176,"qPCR (Vredenburg Lab)","Sam McNally",NA,"1 of 2 qPCR's 1_Coordinate error (m) _Datum _not recorded_Estimated elevation using GPS Visualizer",3.318683624,0,0,0,3,0.318683654,0,0,0.781159355,"distephemeralstream","194.790879458866"
"729","NorthAmerica","United States","California_Nevada County_S Yuba River, Washington",39.3602,-120.7998,791.5,"1973",88.36,40.2,52.9,65.7,NA,NA,1973,"1970s","Museum","MVZ136321","MVZ136321","Rana","boylii","Rana boylii",1,NA,13.48,"qPCR (Vredenburg Lab)","Sam McNally",NA,"took average of 2 1 qPCR's_ZEs 4.248_9.36_Coordinate error (m) _Datum _not recorded_Estimated elevation using GPS Visualizer",3.318683624,0,0,0,3,0.318683654,0,0,0.781159355,"distephemeralstream","194.790879458866"
"730","NorthAmerica","United States","California_Nevada County_S Yuba River, Washington",39.3602,-120.7998,791.5,"1973",88.36,40.2,52.9,65.7,NA,NA,1973,"1970s","Museum","MVZ136323","MVZ136323","Rana","boylii","Rana boylii",1,NA,9.62,"qPCR (Vredenburg Lab)","Sam McNally",NA,"took average of 2 1 qPCR's_ZEs 2.936_1.264_Coordinate error (m) _Datum _not recorded_Estimated elevation using GPS Visualizer",3.318683624,0,0,0,3,0.318683654,0,0,0.781159355,"distephemeralstream","194.790879458866"
"731","NorthAmerica","United States","California_Nevada County_S Yuba River, Washington",39.3602,-120.7998,791.5,"1973",88.36,40.2,52.9,65.7,NA,NA,1973,"1970s","Museum","MVZ136324","MVZ136324","Rana","boylii","Rana boylii",1,NA,1.268,"qPCR (Vredenburg Lab)","Sam McNally",NA,"took average of 2 1 qPCR's_ZEs 140.8_168_Coordinate error (m) _Datum _not recorded_Estimated elevation using GPS Visualizer",3.318683624,0,0,0,3,0.318683654,0,0,0.781159355,"distephemeralstream","194.790879458866"
"732","NorthAmerica","United States","California_Nevada County_S Yuba River, Washington",39.3602,-120.7998,791.5,"1973",88.36,40.2,52.9,65.7,NA,NA,1973,"1970s","Museum","MVZ136326","MVZ136326","Rana","boylii","Rana boylii",1,NA,4.256,"qPCR (Vredenburg Lab)","Sam McNally",NA,"took average of 2 1 qPCR's_ZEs 0.016_3.16_Coordinate error (m) _Datum _not recorded_Estimated elevation using GPS Visualizer",3.318683624,0,0,0,3,0.318683654,0,0,0.781159355,"distephemeralstream","194.790879458866"
"745","NorthAmerica","United States","California_Tuolumne County_Elizabeth Lake, Yosemite National Park",37.844,-119.3672,2921,"1974",39.76,21.9,34.8,47.7,NA,NA,1974,"1970s","Museum","SM078","MVZ136199","Rana","sierrae","Rana sierrae",1,0.00187,0.15,"qPCR (Vredenburg Lab)","Sam McNally",NA,"1 of 2 qPCR's 1_Coordinate error (m) 30_Datum _not recorded_",2.629548073,0,0,0,1,1.629547954,0,0,0.247534016,"distintermittentstream","25.6593591621255"
