"","Latitude","Longitude","elevation","precip","tmin","tmean","tmax","Year","MuseumOrField","SampleID","FieldID","Genus","Species","SpeciesName","BdStatus","GEScore","ZEScore","BdMethodology","SwabCollector","PreviouslyReported","Comments","HFP2009","croplands2005","Built2009","NavWater2009","Popdensity2010","Roads","Railways","Pasture2009","dist.closest.wb","cat.closest.wb","FirstPosDist"
"1",38.8766,-120.1371,2409.1,51.25,30.6,40.7,50.9,1900,"Museum","SM300","MVZ43337","Rana","sierrae","Rana sierrae",0,NA,0,"qPCR (Vredenburg Lab)","Sam McNally",NA,"_Coordinate error (m) 495.677952_Datum _MaNIS georeferencing guidelines_Estimated elevation using GPS Visualizer",2.259295225,0,0,0,2,0.259295315,0,0,0.06006878,"distlakepond","121.272789165545"
"2",34.1686,-116.8156,1982,29.77,31.1,46.8,62.4,1905,"Museum","SM294","MVZ772","Rana","muscosa","Rana muscosa",0,NA,0,"qPCR (Vredenburg Lab)","Sam McNally",NA,"_Coordinate error (m) 806.281344_Datum _MaNIS georeferencing guidelines_",9,0,0,0,1,8,0,0,0.091428694,"distperennialstream","482.276056254398"
"3",34.1432,-117.0677,1677,27.58,48.7,61.8,74.9,1907,"Museum","SM290","MVZ715","Rana","muscosa","Rana muscosa",1,0.0212,1.7,"qPCR (Vredenburg Lab)","Sam McNally",NA,"1 of 2 qPCR's 1_Coordinate error (m) 42697.505664_Datum _MaNIS georeferencing guidelines_",5.285611153,0,0,0,4,0.285611063,0,0,1.97416944,"distephemeralstream","473.070062211972"
"4",34.1844,-116.9208,1829,12.79,34.1,49.8,65.6,1910,"Museum","SM297","MVZ4389","Rana","muscosa","Rana muscosa",0,NA,0,"qPCR (Vredenburg Lab)","Sam McNally",NA,"_Coordinate error (m) 3220.297344_Datum _MaNIS georeferencing guidelines_",2.339466572,0,0,0,1,1.339466453,0,0,0.037568323,"distperennialstream","475.79679402145"
"5",35.8307,-118.2918,2134,40.24,31.4,43.1,54.8,1911,"Museum","MVZ3000","MVZ3000","Rana","muscosa","Rana muscosa",0,NA,0,"qPCR (Vredenburg Lab)","Sam McNally",NA,"_Coordinate error (m) 30_Datum __",2.250006914,0,0,0,1,0.250006855,0,1,0,"distswamp","255.207508945279"
"6",35.8307,-118.2918,2134,40.24,31.4,43.1,54.8,1911,"Museum","MVZ3002","MVZ3002","Rana","muscosa","Rana muscosa",0,NA,0,"qPCR (Vredenburg Lab)","Sam McNally",NA,"_Coordinate error (m) 30_Datum __",2.250006914,0,0,0,1,0.250006855,0,1,0,"distswamp","255.207508945279"
"7",35.8307,-118.2918,2134,40.24,31.4,43.1,54.8,1911,"Museum","MVZ3003","MVZ3003","Rana","muscosa","Rana muscosa",0,NA,0,"qPCR (Vredenburg Lab)","Sam McNally",NA,"_Coordinate error (m) 30_Datum __",2.250006914,0,0,0,1,0.250006855,0,1,0,"distswamp","255.207508945279"
"8",35.8307,-118.2918,2134,40.24,31.4,43.1,54.8,1911,"Museum","MVZ3006","MVZ3006","Rana","muscosa","Rana muscosa",0,NA,0,"qPCR (Vredenburg Lab)","Sam McNally",NA,"_Coordinate error (m) 30_Datum __",2.250006914,0,0,0,1,0.250006855,0,1,0,"distswamp","255.207508945279"
"9",35.8307,-118.2918,2134,40.24,31.4,43.1,54.8,1911,"Museum","MVZ3007","MVZ3007","Rana","muscosa","Rana muscosa",0,NA,0,"qPCR (Vredenburg Lab)","Sam McNally",NA,"_Coordinate error (m) 30_Datum __",2.250006914,0,0,0,1,0.250006855,0,1,0,"distswamp","255.207508945279"
"10",35.8828,-118.2845,2134,34.32,30.6,43.5,56.4,1911,"Museum","MVZ3012","MVZ3012","Rana","muscosa","Rana muscosa",0,NA,0,"qPCR (Vredenburg Lab)","Sam McNally",NA,"_Coordinate error (m) 402.336_Datum __",2,0,0,0,1,0,0,1,0,"distswamp","250.441877419039"
"11",36.0929,-118.2262,2363,28.81,26.3,41.4,56.5,1911,"Museum","MVZ3015","MVZ3015","Rana","muscosa","Rana muscosa",0,NA,0,"qPCR (Vredenburg Lab)","Sam McNally",NA,"_Coordinate error (m) 30_Datum __",1,0,0,0,1,0,0,0,1.180741421,"distswamp","233.1023941304"
"12",36.0929,-118.2262,2363,28.81,26.3,41.4,56.5,1911,"Museum","MVZ3018","MVZ3018","Rana","muscosa","Rana muscosa",0,NA,0,"qPCR (Vredenburg Lab)","Sam McNally",NA,"_Coordinate error (m) 30_Datum __",1,0,0,0,1,0,0,0,1.180741421,"distswamp","233.1023941304"
"13",36.2048,-118.196,2439,27.59,23.5,38.4,53.4,1911,"Museum","MVZ3022","MVZ3022","Rana","muscosa","Rana muscosa",0,NA,0,"qPCR (Vredenburg Lab)","Sam McNally",NA,"_Coordinate error (m) 4733.080704_Datum __",1,0,0,0,1,0,0,0,3.399852859,"distephemeralstream","224.307838890418"
"14",36.2048,-118.196,2439,27.59,23.5,38.4,53.4,1911,"Museum","MVZ3023","MVZ3023","Rana","muscosa","Rana muscosa",0,NA,0,"qPCR (Vredenburg Lab)","Sam McNally",NA,"_Coordinate error (m) 4733.080704_Datum __",1,0,0,0,1,0,0,0,3.399852859,"distephemeralstream","224.307838890418"
"15",36.2048,-118.196,2439,27.59,23.5,38.4,53.4,1911,"Museum","MVZ3024","MVZ3024","Rana","muscosa","Rana muscosa",0,NA,0,"qPCR (Vredenburg Lab)","Sam McNally",NA,"_Coordinate error (m) 4733.080704_Datum __",1,0,0,0,1,0,0,0,3.399852859,"distephemeralstream","224.307838890418"
