basin_name	lake_id	date	julian	year	adult	subadult	fish
Sixty_Lakes	10400	8/2/2005	38566	2005	0	0	Yes
Sixty_Lakes	10402	8/1/2005	38565	2005	0	0	Yes
Sixty_Lakes	10403	8/1/2005	38565	2005	0	0	Yes
Sixty_Lakes	10403	8/24/2006	38953	2006	0	0	Yes
Sixty_Lakes	10404	8/1/2005	38565	2005	0	0	Yes
Sixty_Lakes	10405	8/1/2005	38565	2005	0	0	Yes
Sixty_Lakes	10406	8/18/2004	38217	2004	10	0	No
Sixty_Lakes	10406	7/15/2005	38548	2005	0	0	No
Sixty_Lakes	10406	8/15/2005	38579	2005	1	1	No
Sixty_Lakes	10406	9/15/2005	38610	2005	1	2	No
Sixty_Lakes	10406	8/15/2006	38944	2006	0	0	No
Sixty_Lakes	10406	8/23/2006	38952	2006	0	0	No
Sixty_Lakes	10406	9/16/2006	38976	2006	0	0	No
Sixty_Lakes	10406.1	8/1/2005	38565	2005	0	0	No
Sixty_Lakes	10407	8/18/2004	38217	2004	48	25	No
Sixty_Lakes	10407	8/22/2004	38221	2004	39	64	No
Sixty_Lakes	10407	7/15/2005	38548	2005	0	0	No
Sixty_Lakes	10407	8/15/2005	38579	2005	1	0	No
Sixty_Lakes	10407	9/15/2005	38610	2005	0	0	No
Sixty_Lakes	10407	8/15/2006	38944	2006	0	0	No
Sixty_Lakes	10407	8/23/2006	38952	2006	0	0	No
Sixty_Lakes	10407	9/16/2006	38976	2006	0	0	No
Sixty_Lakes	10407.1	8/23/2006	38952	2006	0	0	No
Sixty_Lakes	10408	8/18/2004	38217	2004	49	49	No
Sixty_Lakes	10408	8/22/2004	38221	2004	29	79	No
Sixty_Lakes	10408	7/15/2005	38548	2005	0	0	No
Sixty_Lakes	10408	8/15/2005	38579	2005	0	0	No
Sixty_Lakes	10408	9/15/2005	38610	2005	0	0	No
Sixty_Lakes	10408	8/15/2006	38944	2006	0	0	No
Sixty_Lakes	10408	8/23/2006	38952	2006	0	0	No
Sixty_Lakes	10408	9/16/2006	38976	2006	0	0	No
Sixty_Lakes	10411	8/22/2004	38221	2004	224	129	No
Sixty_Lakes	10411	7/15/2005	38548	2005	289	95	No
Sixty_Lakes	10411	8/15/2005	38579	2005	222	105	No
Sixty_Lakes	10411	9/15/2005	38610	2005	305	85	No
Sixty_Lakes	10411	8/15/2006	38944	2006	1	0	No
Sixty_Lakes	10411	8/23/2006	38952	2006	0	0	No
Sixty_Lakes	10411	9/16/2006	38976	2006	0	3	No
Sixty_Lakes	10412	8/24/2006	38953	2006	0	0	Yes
Sixty_Lakes	10413	8/18/2004	38217	2004	2	0	Yes
Sixty_Lakes	10413	8/22/2004	38221	2004	2	1	Yes
Sixty_Lakes	10413	8/24/2006	38953	2006	25	15	Yes
Sixty_Lakes	10414	8/18/2004	38217	2004	5	12	Yes
Sixty_Lakes	10414	8/22/2004	38221	2004	15	8	Yes
Sixty_Lakes	10414	7/15/2005	38548	2005	19	2	Yes
Sixty_Lakes	10414	8/15/2005	38579	2005	12	15	Yes
Sixty_Lakes	10414	9/15/2005	38610	2005	10	5	Yes
Sixty_Lakes	10414	8/15/2006	38944	2006	12	5	Yes
Sixty_Lakes	10414	8/23/2006	38952	2006	6	2	Yes
Sixty_Lakes	10414	9/16/2006	38976	2006	4	5	Yes
Sixty_Lakes	10415	8/18/2004	38217	2004	12	2	Yes
Sixty_Lakes	10415	8/1/2005	38565	2005	10	5	Yes
Sixty_Lakes	10415	9/1/2005	38596	2005	10	5	Yes
Sixty_Lakes	10415	8/15/2006	38944	2006	1	0	Yes
Sixty_Lakes	10416	8/18/2004	38217	2004	53	27	No
Sixty_Lakes	10416	8/22/2004	38221	2004	32	12	No
Sixty_Lakes	10416	7/15/2005	38548	2005	17	5	No
Sixty_Lakes	10416	8/4/2005	38568	2005	19	75	No
Sixty_Lakes	10416	9/15/2005	38610	2005	34	19	No
Sixty_Lakes	10416	8/15/2006	38944	2006	2	5	No
Sixty_Lakes	10416	8/24/2006	38953	2006	2	5	No
Sixty_Lakes	10416	9/16/2006	38976	2006	2	3	No
Sixty_Lakes	10417	8/22/2004	38221	2004	179	85	No
Sixty_Lakes	10417	7/15/2005	38548	2005	154	45	No
Sixty_Lakes	10417	8/4/2005	38568	2005	111	13	No
Sixty_Lakes	10417	8/15/2005	38579	2005	99	54	No
Sixty_Lakes	10417	9/15/2005	38610	2005	86	76	No
Sixty_Lakes	10417	8/15/2006	38944	2006	65	10	No
Sixty_Lakes	10417	8/25/2006	38954	2006	55	22	No
Sixty_Lakes	10417	9/16/2006	38976	2006	16	15	No
Sixty_Lakes	10418	7/12/2004	38180	2004	312	112	No
Sixty_Lakes	10418	8/22/2004	38221	2004	459	156	No
Sixty_Lakes	10418	7/15/2005	38548	2005	370	125	No
Sixty_Lakes	10418	8/1/2005	38565	2005	268	35	No
Sixty_Lakes	10418	8/15/2005	38579	2005	289	235	No
Sixty_Lakes	10418	9/15/2005	38610	2005	359	102	No
Sixty_Lakes	10418	8/15/2006	38944	2006	125	45	No
Sixty_Lakes	10418	8/23/2006	38952	2006	43	22	No
Sixty_Lakes	10418	9/16/2006	38976	2006	49	25	No
Sixty_Lakes	10418.1	8/22/2004	38221	2004	117	56	No
Sixty_Lakes	10418.1	7/15/2005	38548	2005	145	39	No
Sixty_Lakes	10418.1	7/25/2005	38558	2005	46	19	No
Sixty_Lakes	10418.1	8/15/2005	38579	2005	102	22	No
Sixty_Lakes	10418.1	9/15/2005	38610	2005	88	5	No
Sixty_Lakes	10418.1	8/15/2006	38944	2006	22	12	No
Sixty_Lakes	10418.1	8/23/2006	38952	2006	12	10	No
Sixty_Lakes	10418.1	9/16/2006	38976	2006	15	5	No
Sixty_Lakes	10418.2	7/5/2004	38173	2004	2	4	No
Sixty_Lakes	10418.2	8/4/2005	38568	2005	15	8	No
Sixty_Lakes	10418.3	7/5/2004	38173	2004	0	1	No
Sixty_Lakes	10418.3	8/4/2005	38568	2005	17	5	No
Sixty_Lakes	10418.4	7/5/2004	38173	2004	8	6	No
Sixty_Lakes	10418.4	8/4/2005	38568	2005	28	17	No
Sixty_Lakes	10418.5	7/5/2004	38173	2004	0	2	No
Sixty_Lakes	10418.5	8/4/2005	38568	2005	5	1	No
Sixty_Lakes	10418.6	7/5/2004	38173	2004	2	0	No
Sixty_Lakes	10418.6	8/4/2005	38568	2005	12	0	No
Sixty_Lakes	10418.7	8/4/2005	38568	2005	2	0	No
Sixty_Lakes	10418.8	7/5/2004	38173	2004	0	0	No
Sixty_Lakes	10418.8	8/4/2005	38568	2005	15	0	No
Sixty_Lakes	10419	8/18/2004	38217	2004	8	0	Yes
Sixty_Lakes	10419	7/15/2005	38548	2005	8	0	Yes
Sixty_Lakes	10419	7/29/2005	38562	2005	3	0	Yes
Sixty_Lakes	10419	8/4/2005	38568	2005	8	0	Yes
Sixty_Lakes	10419	9/4/2005	38599	2005	3	0	Yes
Sixty_Lakes	10419	8/16/2006	38945	2006	2	0	Yes
Sixty_Lakes	10420	8/18/2004	38217	2004	30	15	No
Sixty_Lakes	10420	8/22/2004	38221	2004	45	59	No
Sixty_Lakes	10420	7/15/2005	38548	2005	60	43	No
Sixty_Lakes	10420	8/4/2005	38568	2005	75	56	No
Sixty_Lakes	10420	8/15/2005	38579	2005	89	43	No
Sixty_Lakes	10420	9/15/2005	38610	2005	79	55	No
Sixty_Lakes	10420	8/25/2006	38954	2006	119	129	No
Sixty_Lakes	10420	9/16/2006	38976	2006	109	79	No
Sixty_Lakes	10421	7/18/2004	38186	2004	79	78	No
Sixty_Lakes	10421	8/22/2004	38221	2004	122	88	No
Sixty_Lakes	10421	7/15/2005	38548	2005	129	102	No
Sixty_Lakes	10421	8/4/2005	38568	2005	133	92	No
Sixty_Lakes	10421	8/15/2005	38579	2005	145	123	No
Sixty_Lakes	10421	9/15/2005	38610	2005	165	100	No
Sixty_Lakes	10421	8/15/2006	38944	2006	88	44	No
Sixty_Lakes	10421	8/25/2006	38954	2006	78	55	No
Sixty_Lakes	10421	9/16/2006	38976	2006	89	56	No
Sixty_Lakes	10422	8/18/2004	38217	2004	182	361	No
Sixty_Lakes	10422	8/22/2004	38221	2004	345	400	No
Sixty_Lakes	10422	7/15/2005	38548	2005	102	180	No
Sixty_Lakes	10422	8/4/2005	38568	2005	54	15	No
Sixty_Lakes	10422	8/15/2005	38579	2005	69	22	No
Sixty_Lakes	10422	9/15/2005	38610	2005	72	34	No
Sixty_Lakes	10422	8/15/2006	38944	2006	89	45	No
Sixty_Lakes	10422	8/25/2006	38954	2006	187	22	No
Sixty_Lakes	10422	9/16/2006	38976	2006	156	54	No
Sixty_Lakes	10423	8/18/2004	38217	2004	322	105	No
Sixty_Lakes	10423	8/22/2004	38221	2004	876	400	No
Sixty_Lakes	10423	7/15/2005	38548	2005	790	427	No
Sixty_Lakes	10423	8/4/2005	38568	2005	598	340	No
Sixty_Lakes	10423	8/15/2005	38579	2005	609	450	No
Sixty_Lakes	10423	9/15/2005	38610	2005	450	342	No
Sixty_Lakes	10423	8/15/2006	38944	2006	612	280	No
Sixty_Lakes	10423	8/25/2006	38954	2006	588	301	No
Sixty_Lakes	10423	9/16/2006	38976	2006	627	289	No
Sixty_Lakes	10510	8/2/2004	38201	2004	15	6	No
Sixty_Lakes	10510	8/2/2005	38566	2005	16	1	No
Sixty_Lakes	10510	8/25/2006	38954	2006	39	15	No
Sixty_Lakes	11064	8/22/2004	38221	2004	123	19	No
Sixty_Lakes	11064	7/15/2005	38548	2005	117	54	No
Sixty_Lakes	11064	8/4/2005	38568	2005	116	227	No
